ipa;nombre_punto;fecha;x_utm30;y_utm30;cota;codigo_masa_agua;masa_agua;naturaleza;localidad;municipio;provincia;no3_mgl;red;anio;mes;afectada;en_riesgo;clase;indicativo;nombre;dist_estacion_m;indicativo_clima;nombre_clima;altitud;prec;tmed;anio_clima;mes_clima;precip_7d;precip_15d;precip_30d;temp_media_7d;temp_media_30d;anomalia_temp;evento_extremo_lluvia;latitud;longitud;x_utm30_esp;y_utm30_esp;nombre_punto_esp;municipio_esp;provincia_esp;masa_agua_esp;red_esp;lon_x;lat_x;lat_y;lon_y;soil_cec_0_5cm;soil_cec_15_30cm;soil_cec_5_15cm;soil_clay_0_5cm;soil_clay_15_30cm;soil_clay_5_15cm;soil_phh2o_0_5cm;soil_phh2o_15_30cm;soil_phh2o_5_15cm;soil_sand_0_5cm;soil_sand_15_30cm;soil_sand_5_15cm;soil_silt_0_5cm;soil_silt_15_30cm;soil_silt_5_15cm;soil_soc_0_5cm;soil_soc_15_30cm;soil_soc_5_15cm;soil_wv0033_0_5cm;soil_wv0033_15_30cm;soil_wv0033_5_15cm;soil_wv1500_0_5cm;soil_wv1500_15_30cm;soil_wv1500_5_15cm;clc2012_codigo;clc2012_nombre;clc2012_agricola;clc2018_codigo;clc2018_nombre;clc2018_agricola;cambio_clc_2012_2018;sigpac_uso;sigpac_uso_nombre;sigpac_superficie_m2;sigpac_pendiente_pct;sigpac_coef_regadio;sigpac_es_agricola;dist_sigpac_m;zona_vulnerable_nitratos;altitud_dem_m;ndvi_2015;ndvi_2016;ndvi_2017;ndvi_2018;ndvi_2019;ndvi_2020;ndvi_2021;ndvi_2022;ndvi_2023;ndvi_2024;ndvi_2025;ndvi_media_periodo;ndvi_min_periodo;ndvi_max_periodo;ndvi_cambio_periodo;ndvi_anio_observacion
211020002;MANANTIAL TORMANTOS;2015-03-10;492766;4704119;;44.0;ALUVIAL DEL TIRÓN;Manantial;TORMANTOS;TORMANTOS;Rioja (La);184.0;RNIT;2015;3;True;False;afectada;9115X;VALDEZCARAY;20477.20029264447;9115X;VALDEZCARAY;1630.0;0.0;9.1;2015.0;3.0;9.8;29.2;59.2;4.271428571428571;1.0233333333333332;6.286607142857143;False;42.312;-3.02;492766;4704119;MANANTIAL TORMANTOS;TORMANTOS;Rioja (La);ALUVIAL DEL TIRÓN;RNIT;-3.088026260368538;42.489392566396134;42.489392566396134;-3.088026260368538;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;211;Tierras labor secano;True;211;Tierras labor secano;True;False;CA;Viales;208.23028112285357;2.69;0.0;False;0.0;True;616.5142211914062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
211020002;MANANTIAL TORMANTOS;2015-09-08;492766;4704119;;44.0;ALUVIAL DEL TIRÓN;Manantial;TORMANTOS;TORMANTOS;Rioja (La);155.0;RNIT;2015;9;True;False;afectada;9115X;VALDEZCARAY;20477.20029264447;9115X;VALDEZCARAY;1630.0;0.0;11.6;2015.0;9.0;37.4;48.2;72.0;9.557142857142855;14.0;-0.8580547112462007;False;42.312;-3.02;492766;4704119;MANANTIAL TORMANTOS;TORMANTOS;Rioja (La);ALUVIAL DEL TIRÓN;RNIT;-3.088026260368538;42.489392566396134;42.489392566396134;-3.088026260368538;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;211;Tierras labor secano;True;211;Tierras labor secano;True;False;CA;Viales;208.23028112285357;2.69;0.0;False;0.0;True;616.5142211914062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
211030008;MANANTIAL PATAGALLINA 1;2015-09-23;502519;4696432;;45.0;ALUVIAL DEL OJA;Manantial;SANTO DOMINGO DE LA CALZADA;SANTO DOMINGO DE LA CALZADA;Rioja (La);3.7;RBAS;2015;9;False;False;normal;9115X;VALDEZCARAY;12715.866588402145;9115X;VALDEZCARAY;1630.0;0.0;6.3;2015.0;9.0;1.0;21.8;70.0;10.157142857142857;12.45;-6.1580547112462005;False;42.312;-3.02;502519;4696432;MANANTIAL PATAGALLINA 1;SANTO DOMINGO DE LA CALZADA;Rioja (La);ALUVIAL DEL OJA;RBAS;-2.9693815071295475;42.42019353514909;42.42019353514909;-2.9693815071295475;18.3;14.200000000000001;16.0;26.8;27.5;26.900000000000002;7.800000000000001;7.9;8.0;20.3;21.1;20.5;47.1;45.400000000000006;46.900000000000006;24.6;11.0;13.3;0.34900000000000003;0.334;0.34;0.187;0.188;0.188;211;Tierras labor secano;True;211;Tierras labor secano;True;False;AG;Agua;58674.48459950468;1.45;0.0;False;0.0;False;665.1880493164062;0.6105019462758736;0.6595319708925218;0.6848029494285583;0.7045702934265137;0.6761110424995422;0.7251797914505005;0.681896984577179;0.6769617795944214;0.6233159303665161;0.6766712069511414;0.6304497122764587;0.6681812370672024;0.6105019462758736;0.7251797914505005;0.01994776600058512;0.6105019462758736
211020002;MANANTIAL TORMANTOS;2015-12-01;492766;4704119;;44.0;ALUVIAL DEL TIRÓN;Manantial;TORMANTOS;TORMANTOS;Rioja (La);117.0;RNIT;2015;12;True;False;afectada;9115X;VALDEZCARAY;20477.20029264447;9115X;VALDEZCARAY;1630.0;0.0;10.2;2015.0;12.0;21.4;48.29999999999999;48.3;2.8428571428571416;7.679999999999999;6.568035190615835;False;42.312;-3.02;492766;4704119;MANANTIAL TORMANTOS;TORMANTOS;Rioja (La);ALUVIAL DEL TIRÓN;RNIT;-3.088026260368538;42.489392566396134;42.489392566396134;-3.088026260368538;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;211;Tierras labor secano;True;211;Tierras labor secano;True;False;CA;Viales;208.23028112285357;2.69;0.0;False;0.0;True;616.5142211914062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
211020002;MANANTIAL TORMANTOS;2016-03-08;492766;4704119;;44.0;ALUVIAL DEL TIRÓN;Manantial;TORMANTOS;TORMANTOS;Rioja (La);117.0;RNIT;2016;3;True;False;afectada;9115X;VALDEZCARAY;20477.20029264447;9115X;VALDEZCARAY;1630.0;1.4;-3.3;2016.0;3.0;19.0;32.79999999999999;107.4;-0.6142857142857154;0.7533333333333331;-6.113392857142857;False;42.312;-3.02;492766;4704119;MANANTIAL TORMANTOS;TORMANTOS;Rioja (La);ALUVIAL DEL TIRÓN;RNIT;-3.088026260368538;42.489392566396134;42.489392566396134;-3.088026260368538;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;211;Tierras labor secano;True;211;Tierras labor secano;True;False;CA;Viales;208.23028112285357;2.69;0.0;False;0.0;True;616.5142211914062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
211130014;PEÑA SAN TORCUATO;2016-04-06;499242;4686398;820.0;65.0;PRADOLUENGO-ANGUIANO;Manantial;EZCARAY;EZCARAY;Rioja (La);3.56;RBAS;2016;4;False;False;normal;9115X;VALDEZCARAY;2170.592558752392;9115X;VALDEZCARAY;1630.0;0.8;3.4;2016.0;4.0;58.6;75.0;132.6;1.6142857142857134;0.8699999999999998;-2.020699925539837;True;42.312;-3.02;499242;4686398;PEÑA SAN TORCUATO;EZCARAY;Rioja (La);PRADOLUENGO-ANGUIANO;RBAS;-3.009200305514724;42.3298302797147;42.3298302797147;-3.009200305514724;20.400000000000002;14.200000000000001;15.700000000000001;26.700000000000003;31.900000000000002;28.3;7.5;7.7;7.7;20.200000000000003;19.6;20.200000000000003;44.800000000000004;41.400000000000006;45.0;31.0;13.100000000000001;16.1;0.35000000000000003;0.325;0.334;0.187;0.189;0.19;231;Praderas;True;231;Praderas;True;False;FO;Forestal;1237.323813962862;0.76;0.0;False;0.0;False;806.0753784179688;0.490328715196457;0.519053927680798;0.6963845491409302;0.7608532905578613;0.7704117894172668;0.8169491291046143;0.692916214466095;0.6739352345466614;0.7260354161262512;0.7540376782417297;0.7423092722892761;0.6948377469789038;0.490328715196457;0.8169491291046143;0.25198055709281914;0.519053927680798
211120001;MANANTIAL DE VALGAÑÓN. TRES CAÑOS;2016-04-06;493563;4685125;;65.0;PRADOLUENGO-ANGUIANO;Manantial;;VALGAÑÓN;Rioja (La);3.45;RBAS;2016;4;False;False;normal;9115X;VALDEZCARAY;4840.618341962172;9115X;VALDEZCARAY;1630.0;0.8;3.4;2016.0;4.0;58.6;75.0;132.6;1.6142857142857134;0.8699999999999998;-2.020699925539837;True;42.312;-3.02;493563;4685125;MANANTIAL DE VALGAÑÓN. TRES CAÑOS;VALGAÑÓN;Rioja (La);PRADOLUENGO-ANGUIANO;RBAS;-3.078115552456647;42.31833920447419;42.31833920447419;-3.078115552456647;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;322;Matorrales;False;322;Matorrales;False;False;FO;Forestal;585.0202298549167;3.26;0.0;False;0.0;False;968.0159912109375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
211020002;MANANTIAL TORMANTOS;2016-06-07;492766;4704119;;44.0;ALUVIAL DEL TIRÓN;Manantial;TORMANTOS;TORMANTOS;Rioja (La);126.0;RNIT;2016;6;True;False;afectada;9115X;VALDEZCARAY;20477.20029264447;9115X;VALDEZCARAY;1630.0;0.0;15.6;2016.0;6.0;9.2;21.0;99.4;11.2;8.843333333333334;1.8744876660341545;False;42.312;-3.02;492766;4704119;MANANTIAL TORMANTOS;TORMANTOS;Rioja (La);ALUVIAL DEL TIRÓN;RNIT;-3.088026260368538;42.489392566396134;42.489392566396134;-3.088026260368538;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;211;Tierras labor secano;True;211;Tierras labor secano;True;False;CA;Viales;208.23028112285357;2.69;0.0;False;0.0;True;616.5142211914062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
211020002;MANANTIAL TORMANTOS;2016-09-06;492766;4704119;;44.0;ALUVIAL DEL TIRÓN;Manantial;TORMANTOS;TORMANTOS;Rioja (La);118.0;RNIT;2016;9;True;False;afectada;9115X;VALDEZCARAY;20477.20029264447;9115X;VALDEZCARAY;1630.0;0.0;22.6;2016.0;9.0;0.0;6.199999999999993;18.8;18.285714285714285;17.41;10.1419452887538;False;42.312;-3.02;492766;4704119;MANANTIAL TORMANTOS;TORMANTOS;Rioja (La);ALUVIAL DEL TIRÓN;RNIT;-3.088026260368538;42.489392566396134;42.489392566396134;-3.088026260368538;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;211;Tierras labor secano;True;211;Tierras labor secano;True;False;CA;Viales;208.23028112285357;2.69;0.0;False;0.0;True;616.5142211914062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
211020002;MANANTIAL TORMANTOS;2016-12-13;492766;4704119;;44.0;ALUVIAL DEL TIRÓN;Manantial;TORMANTOS;TORMANTOS;Rioja (La);121.0;RNIT;2016;12;True;False;afectada;9115X;VALDEZCARAY;20477.20029264447;9115X;VALDEZCARAY;1630.0;0.0;4.8;2016.0;12.0;0.0;1.599999999999993;103.6;6.242857142857142;3.81;1.1680351906158355;False;42.312;-3.02;492766;4704119;MANANTIAL TORMANTOS;TORMANTOS;Rioja (La);ALUVIAL DEL TIRÓN;RNIT;-3.088026260368538;42.489392566396134;42.489392566396134;-3.088026260368538;0.0;0.0;0.0;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;211;Tierras labor secano;True;211;Tierras labor secano;True;False;CA;Viales;208.23028112285357;2.69;0.0;False;0.0;True;616.5142211914062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
