ipa,nombre_punto,fecha,x_utm30,y_utm30,cota,codigo_masa_agua,masa_agua,naturaleza,localidad,municipio,provincia,no3_mgl,red,anio,mes,afectada,en_riesgo,clase,indicativo,nombre,dist_estacion_m,indicativo_clima,nombre_clima,altitud,prec,tmed,anio_clima,mes_clima,precip_7d,precip_15d,precip_30d,temp_media_7d,temp_media_30d,anomalia_temp,evento_extremo_lluvia,latitud,longitud
211020002,MANANTIAL TORMANTOS,2015-03-10,492766,4704119,,44.0,ALUVIAL DEL TIRÓN,Manantial,TORMANTOS,TORMANTOS,Rioja (La),184.0,RNIT,2015,3,True,False,afectada,9115X,VALDEZCARAY,20477.20029264447,9115X,VALDEZCARAY,1630.0,0.0,9.1,2015.0,3.0,9.8,29.2,59.2,4.271428571428571,1.0233333333333332,6.286607142857143,False,42.312,-3.02
211020002,MANANTIAL TORMANTOS,2015-09-08,492766,4704119,,44.0,ALUVIAL DEL TIRÓN,Manantial,TORMANTOS,TORMANTOS,Rioja (La),155.0,RNIT,2015,9,True,False,afectada,9115X,VALDEZCARAY,20477.20029264447,9115X,VALDEZCARAY,1630.0,0.0,11.6,2015.0,9.0,37.4,48.2,72.0,9.557142857142855,14.0,-0.8580547112462007,False,42.312,-3.02
211030008,MANANTIAL PATAGALLINA 1,2015-09-23,502519,4696432,,45.0,ALUVIAL DEL OJA,Manantial,SANTO DOMINGO DE LA CALZADA,SANTO DOMINGO DE LA CALZADA,Rioja (La),3.7,RBAS,2015,9,False,False,normal,9115X,VALDEZCARAY,12715.866588402143,9115X,VALDEZCARAY,1630.0,0.0,6.3,2015.0,9.0,1.0,21.8,70.0,10.157142857142857,12.45,-6.1580547112462005,False,42.312,-3.02
211020002,MANANTIAL TORMANTOS,2015-12-01,492766,4704119,,44.0,ALUVIAL DEL TIRÓN,Manantial,TORMANTOS,TORMANTOS,Rioja (La),117.0,RNIT,2015,12,True,False,afectada,9115X,VALDEZCARAY,20477.20029264447,9115X,VALDEZCARAY,1630.0,0.0,10.2,2015.0,12.0,21.4,48.29999999999999,48.3,2.8428571428571416,7.679999999999999,6.568035190615835,False,42.312,-3.02
211020002,MANANTIAL TORMANTOS,2016-03-08,492766,4704119,,44.0,ALUVIAL DEL TIRÓN,Manantial,TORMANTOS,TORMANTOS,Rioja (La),117.0,RNIT,2016,3,True,False,afectada,9115X,VALDEZCARAY,20477.20029264447,9115X,VALDEZCARAY,1630.0,1.4,-3.3,2016.0,3.0,19.0,32.79999999999999,107.4,-0.6142857142857154,0.7533333333333331,-6.113392857142857,False,42.312,-3.02
211130014,PEÑA SAN TORCUATO,2016-04-06,499242,4686398,820.0,65.0,PRADOLUENGO-ANGUIANO,Manantial,EZCARAY,EZCARAY,Rioja (La),3.56,RBAS,2016,4,False,False,normal,9115X,VALDEZCARAY,2170.592558752392,9115X,VALDEZCARAY,1630.0,0.8,3.4,2016.0,4.0,58.6,75.0,132.6,1.6142857142857134,0.8699999999999998,-2.020699925539837,True,42.312,-3.02
211120001,MANANTIAL DE VALGAÑÓN. TRES CAÑOS,2016-04-06,493563,4685125,,65.0,PRADOLUENGO-ANGUIANO,Manantial,,VALGAÑÓN,Rioja (La),3.45,RBAS,2016,4,False,False,normal,9115X,VALDEZCARAY,4840.618341962172,9115X,VALDEZCARAY,1630.0,0.8,3.4,2016.0,4.0,58.6,75.0,132.6,1.6142857142857134,0.8699999999999998,-2.020699925539837,True,42.312,-3.02
211020002,MANANTIAL TORMANTOS,2016-06-07,492766,4704119,,44.0,ALUVIAL DEL TIRÓN,Manantial,TORMANTOS,TORMANTOS,Rioja (La),126.0,RNIT,2016,6,True,False,afectada,9115X,VALDEZCARAY,20477.20029264447,9115X,VALDEZCARAY,1630.0,0.0,15.6,2016.0,6.0,9.2,20.999999999999996,99.4,11.2,8.843333333333334,1.8744876660341545,False,42.312,-3.02
211020002,MANANTIAL TORMANTOS,2016-09-06,492766,4704119,,44.0,ALUVIAL DEL TIRÓN,Manantial,TORMANTOS,TORMANTOS,Rioja (La),118.0,RNIT,2016,9,True,False,afectada,9115X,VALDEZCARAY,20477.20029264447,9115X,VALDEZCARAY,1630.0,0.0,22.6,2016.0,9.0,0.0,6.199999999999993,18.8,18.285714285714285,17.41,10.1419452887538,False,42.312,-3.02
211020002,MANANTIAL TORMANTOS,2016-12-13,492766,4704119,,44.0,ALUVIAL DEL TIRÓN,Manantial,TORMANTOS,TORMANTOS,Rioja (La),121.0,RNIT,2016,12,True,False,afectada,9115X,VALDEZCARAY,20477.20029264447,9115X,VALDEZCARAY,1630.0,0.0,4.8,2016.0,12.0,0.0,1.599999999999993,103.6,6.242857142857142,3.81,1.1680351906158355,False,42.312,-3.02
211020002,MANANTIAL TORMANTOS,2017-03-21,492766,4704119,,44.0,ALUVIAL DEL TIRÓN,Manantial,TORMANTOS,TORMANTOS,Rioja (La),106.0,RNIT,2017,3,True,False,afectada,9115X,VALDEZCARAY,20477.20029264447,9115X,VALDEZCARAY,1630.0,2.6,4.1,2017.0,3.0,0.0,13.199999999999992,34.0,8.385714285714284,5.489999999999999,1.2866071428571426,False,42.312,-3.02
211020002,MANANTIAL TORMANTOS,2017-06-06,492766,4704119,,44.0,ALUVIAL DEL TIRÓN,Manantial,TORMANTOS,TORMANTOS,Rioja (La),106.0,RNIT,2017,6,True,False,afectada,9115X,VALDEZCARAY,20477.20029264447,9115X,VALDEZCARAY,1630.0,0.4,8.2,2017.0,6.0,36.0,50.79999999999999,92.8,11.528571428571428,11.276666666666666,-5.525512333965846,False,42.312,-3.02
211020002,MANANTIAL TORMANTOS,2017-09-05,492766,4704119,,44.0,ALUVIAL DEL TIRÓN,Manantial,TORMANTOS,TORMANTOS,Rioja (La),108.0,RNIT,2017,9,True,False,afectada,9115X,VALDEZCARAY,20477.20029264447,9115X,VALDEZCARAY,1630.0,0.0,16.2,2017.0,9.0,31.800000000000004,70.6,77.0,11.914285714285713,15.136666666666663,3.741945288753799,False,42.312,-3.02
211020002,MANANTIAL TORMANTOS,2017-12-12,492766,4704119,,44.0,ALUVIAL DEL TIRÓN,Manantial,TORMANTOS,TORMANTOS,Rioja (La),108.0,RNIT,2017,12,True,False,afectada,9115X,VALDEZCARAY,20477.20029264447,9115X,VALDEZCARAY,1630.0,8.8,-3.2,2017.0,12.0,8.800000000000006,41.99999999999999,73.4,2.557142857142856,2.936666666666666,-6.831964809384164,False,42.312,-3.02
211020002,MANANTIAL TORMANTOS,2018-03-13,492766,4704119,,44.0,ALUVIAL DEL TIRÓN,Manantial,TORMANTOS,TORMANTOS,Rioja (La),129.0,RNIT,2018,3,True,False,afectada,9115X,VALDEZCARAY,20477.20029264447,9115X,VALDEZCARAY,1630.0,2.2,2.0,2018.0,3.0,67.8,176.2,253.2,1.914285714285713,0.4133333333333328,-0.813392857142857,True,42.312,-3.02
211020002,MANANTIAL TORMANTOS,2018-06-05,492766,4704119,,44.0,ALUVIAL DEL TIRÓN,Manantial,TORMANTOS,TORMANTOS,Rioja (La),122.0,RNIT,2018,6,True,False,afectada,9115X,VALDEZCARAY,20477.20029264447,9115X,VALDEZCARAY,1630.0,5.2,6.3,2018.0,6.0,47.39999999999999,130.4,157.0,10.114285714285714,8.486666666666666,-7.425512333965845,False,42.312,-3.02
