idptoinven,toponimo,x,y,coordz,tipocaptac,profmax,municipio_,provincia_,dominio_de,masasubta_,masasubtb_,acuifero_g,conlitolog,conhidroqu,conexpedie,conensayos,conpiezome,url,enredrbas,enredrnit,enredr500,enredrpiez,datos,id_punto,nombre_punto,municipio,soil_clay_0-5cm,soil_clay_5-15cm,soil_clay_15-30cm,soil_silt_0-5cm,soil_silt_5-15cm,soil_silt_15-30cm,soil_sand_0-5cm,soil_sand_5-15cm,soil_sand_15-30cm,soil_phh2o_0-5cm,soil_phh2o_5-15cm,soil_phh2o_15-30cm,soil_cec_0-5cm,soil_cec_5-15cm,soil_cec_15-30cm,soil_soc_0-5cm,soil_soc_5-15cm,soil_soc_15-30cm,soil_wv0033_0-5cm,soil_wv0033_5-15cm,soil_wv0033_15-30cm,soil_wv1500_0-5cm,soil_wv1500_5-15cm,soil_wv1500_15-30cm,textura_usda,agua_disponible_cm3cm3,sigpac_uso,sigpac_pendiente_media,sigpac_altitud,sigpac_coef_regadio,sigpac_superficie_m2,dist_sigpac_m,zona_vulnerable,altitud_m
2411-8-0002,MANANTIAL FUENTE DEL CURA,592133,4675038,335.5710144,MANANTIAL,0,ALDEANUEVA DE EBRO,LA RIOJA,DepresiÃ³n del Ebro,|,|,|  -,SÃ­,SÃ­,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2411-8-0002_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=241180002,2411-8-0002,MANANTIAL FUENTE DEL CURA,ALDEANUEVA DE EBRO,21.8,21.9,26.3,44.900000000000006,43.7,40.3,26.8,27.5,25.200000000000003,7.9,8.1,8.1,19.8,17.6,17.2,15.5,8.3,10.2,0.361,0.344,0.33,0.15,0.15,0.15,Franco arcillo limoso,0.211,MT,133.0,340.0,30.0,3835.1483760847273,0.0,True,340.98
2210-3-0031,FUENTE CARRETERA NÃJERA-CENICERO,527852,4703429,478.64599609,MANANTIAL,0,CENICERO,LA RIOJA,DepresiÃ³n del Ebro,|,|,|  -,No,SÃ­,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2210-3-0031_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=221030031,2210-3-0031,FUENTE CARRETERA NÃJERA-CENICERO,CENICERO,26.4,27.0,28.6,46.6,45.5,42.7,21.0,21.1,19.9,8.0,8.200000000000001,8.1,20.200000000000003,17.8,15.8,21.200000000000003,10.0,9.9,0.361,0.351,0.35,0.175,0.189,0.189,Arcilla limosa,0.1859999999999999,MT,171.0,479.0,0.0,2207.1217785626523,0.0,False,479.41202
2310-5-0020,CELADAS,539993,4690809,612.184,MANANTIAL,0,ENTRENA,LA RIOJA,DepresiÃ³n del Ebro,|,|,|  -,SÃ­,SÃ­,SÃ­,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2310-5-0020_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=231050020,2310-5-0020,CELADAS,ENTRENA,24.4,24.200000000000003,24.4,44.900000000000006,45.3,45.3,27.1,27.8,27.5,8.0,8.1,8.0,19.4,16.400000000000002,14.8,20.8,11.4,12.4,0.355,0.333,0.327,0.162,0.167,0.162,Franco arcillo limoso,0.1929999999999999,MT,66.0,610.0,0.0,1471.528280230487,0.0,True,612.3078
2310-6-0003,FUENTE DE LA DEHESA (Po. 13; Pa. 202),547152,4694126,503.805,MANANTIAL,0,ALBERITE,LA RIOJA,DepresiÃ³n del Ebro,|,|,|  -,No,No,No,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2310-6-0003_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=231060003,2310-6-0003,FUENTE DE LA DEHESA (Po. 13; Pa. 202),ALBERITE,26.5,26.6,28.200000000000003,43.900000000000006,43.2,41.0,26.200000000000003,26.4,25.0,7.9,8.1,8.0,21.5,18.4,16.2,19.1,11.6,10.8,0.333,0.324,0.324,0.165,0.165,0.161,Arcilla limosa,0.168,IM,81.0,503.0,,96.66089739338861,0.0,True,504.24802
2210-2-0087,FUENTE POZUELOS,520122,4703452,574.462,MANANTIAL,0,SAN ASENSIO,LA RIOJA,DepresiÃ³n del Ebro,|,|,|  -,No,SÃ­,No,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2210-2-0087_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=221020087,2210-2-0087,FUENTE POZUELOS,SAN ASENSIO,23.6,24.6,27.9,43.6,43.6,35.6,24.1,24.0,20.8,7.800000000000001,8.1,8.1,19.9,18.2,15.6,21.6,10.2,11.4,0.335,0.325,0.323,0.162,0.162,0.163,Franco arcillo limoso,0.173,VI,91.0,570.0,0.0,1184.6965047531785,0.0,False,570.612
2310-8-0029,LOS AGUAZALES,562879,4687823,580.775,POZO,10,GALILEA,LA RIOJA,DepresiÃ³n del Ebro,|,|,|  -,No,SÃ­,SÃ­,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2310-8-0029_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=231080029,2310-8-0029,LOS AGUAZALES,GALILEA,23.3,23.200000000000003,26.5,42.7,43.1,39.0,28.4,28.700000000000003,27.3,8.0,8.200000000000001,8.1,20.6,16.8,16.2,20.9,11.4,10.8,0.364,0.355,0.339,0.157,0.156,0.156,Franco arcillo limoso,0.207,FS,37.0,579.0,0.0,624.0147323554993,0.0,True,579.36804
2210-8-0061,FUENTE NAVARRETE. FUENTE DEL PRADO,538113,4695352,498.49700928,MANANTIAL,9999,NAVARRETE,LA RIOJA,DepresiÃ³n del Ebro,|,|,|  -,No,SÃ­,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2210-8-0061_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=221080061,2210-8-0061,FUENTE NAVARRETE. FUENTE DEL PRADO,NAVARRETE,21.0,21.0,23.5,47.0,47.5,45.6,26.9,27.0,24.4,7.9,8.0,8.0,20.5,17.2,15.2,19.9,10.3,10.6,0.35,0.344,0.338,0.154,0.154,0.154,Franco arcillo limoso,0.196,MT,61.0,498.0,0.0,1590.4405489337184,0.0,False,498.34457
2109-6-0027,LA FUENTITA,496442,4705822,579.53997803,MANANTIAL,0,LEIVA,LA RIOJA,DepresiÃ³n del Ebro,044 | ALUVIAL DEL TIRÃN,|,"04401 | Cuaternario aluvial - Aluviales, terrazas y abanicos aluviales",No,No,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2109-6-0027_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=210960027,2109-6-0027,LA FUENTITA,LEIVA,22.0,23.4,25.200000000000003,49.7,49.5,48.0,21.700000000000003,21.700000000000003,21.3,7.800000000000001,8.0,7.9,19.1,17.6,15.5,25.6,12.3,12.0,0.344,0.34,0.332,0.178,0.188,0.189,Franco arcillo limoso,0.166,ZU,49.0,588.0,,199469.73133932488,0.0,True,580.716
2110-2-0172,MANANTIAL DEL CAÃO,498028,4705021,576.799,MANANTIAL,0,HERRAMELLURI,LA RIOJA,DepresiÃ³n del Ebro,044 | ALUVIAL DEL TIRÃN,|,"04401 | Cuaternario aluvial - Aluviales, terrazas y abanicos aluviales",No,SÃ­,No,No,SÃ­,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2110-2-0172_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=211020172,2110-2-0172,MANANTIAL DEL CAÃO,HERRAMELLURI,22.9,23.8,24.0,51.5,50.3,47.2,20.4,20.700000000000003,20.9,7.9,8.0,8.0,18.2,17.6,16.0,25.3,12.3,11.5,0.347,0.34,0.334,0.177,0.183,0.184,Franco arcillo limoso,0.17,CA,255.0,572.0,,1256.1805975685083,0.0,True,567.536
2110-2-0002,MANANTIAL TORMATOS,492766,4704119,617.72998047,MANANTIAL,9999,TORMANTOS,LA RIOJA,DepresiÃ³n del Ebro,044 | ALUVIAL DEL TIRÃN,|,"04401 | Cuaternario aluvial - Aluviales, terrazas y abanicos aluviales",SÃ­,SÃ­,No,No,No,http://iber.chebro.es/geoportal/bulkdata/FICHAS_IPA/2110-2-0002_ipa.pdf,No,SÃ­,No,No,http://www.datossubterraneas.chebro.es/?ipa=211020002,2110-2-0002,MANANTIAL TORMATOS,TORMANTOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Franco,0.0,CA,269.0,619.0,,208.23028112285357,0.0,True,616.5142
