variable,importancia_permutacion,std_permutacion,porcentaje_relativo
zona_vulnerable_nitratos,0.14906214640327617,0.016531655624777267,67.44544934831559
anio,0.023054003200809005,0.01211408168468475,10.431136560649277
temp_media_30d,0.005368045751979173,0.007423324559353589,2.428854451653023
y_utm30,0.005044759608344667,0.008302415448038461,2.2825786884788917
precip_7d,0.004614858462429444,0.006076220906724229,2.0880633359147027
clc2018_nombre_Terrenos regados,0.004085572569935009,0.0017162837704593377,1.848579833802547
clc2012_nombre_Terrenos regados,0.004085572569935009,0.0017162837704593377,1.848579833802547
precip_15d,0.0035763371697945024,0.005505166284402256,1.6181684838034245
soil_wv1500_5_15cm,0.003508111335116254,0.004816552703835188,1.5872986607928976
soil_cec_0_5cm,0.0031142848321467744,0.002091713395435484,1.4091058325064232
sigpac_superficie_m2,0.0025276603683130894,0.006427409262227918,1.1436786162973052
altitud_dem_m,0.002488791332990031,0.01550812192772901,1.1260917264238235
soil_phh2o_0_5cm,0.0015171692238927336,0.006108621603872353,0.6864664337117828
ndvi_media_periodo,0.0014435184712580872,0.003168551950453752,0.6531420235503564
soil_wv0033_0_5cm,0.0013343987523039946,0.002810687670888827,0.6037691367699006
soil_silt_5_15cm,0.0012910539970675873,0.0024662865594827156,0.5841571389263757
soil_phh2o_5_15cm,0.0012016389911573555,0.0020812997850403487,0.5436999511183962
lat,0.0008776792733897864,0.0033977437510507662,0.3971194190195576
soil_silt_15_30cm,0.0007240867584329347,0.003650519324279163,0.32762413508759974
clc2018_nombre_Vinedos,0.0007209833946944133,0.0017162837704593377,0.3262199706710377
tmed,0.0006268553903676754,0.0030406492543112672,0.28363031460301336
soil_soc_0_5cm,0.0004806555964629422,0.0014419667893888265,0.21747998044735847
ndvi_min_periodo,0.00026168645522096635,0.002419362470497055,0.11840404144588403
clc2012_nombre_Vinedos,1.5516818692606904e-06,0.0022787212553396115,0.0007020822082810248
clc2018_nombre_Tierras labor secano,0.0,0.0,0.0
sigpac_uso_nombre_Olivar,0.0,0.0,0.0
clc2012_nombre_Tierras labor secano,0.0,0.0,0.0
sigpac_uso_nombre_Pasto arbolado,0.0,0.0,0.0
clc2012_nombre_Tejido urbano discontinuo,0.0,0.0,0.0
clc2012_nombre_Tejido urbano continuo,0.0,0.0,0.0
sigpac_uso_nombre_Pasto arbustivo,0.0,0.0,0.0
sigpac_uso_nombre_Tierra arable,0.0,0.0,0.0
sigpac_uso_nombre_Viales,0.0,0.0,0.0
sigpac_uso_nombre_Vinedo,0.0,0.0,0.0
clc2012_nombre_Praderas,0.0,0.0,0.0
clc2012_nombre_Mosaico cultivos,0.0,0.0,0.0
clc2012_nombre_Matorrales,0.0,0.0,0.0
clc2012_nombre_Matorral boscoso,0.0,0.0,0.0
clc2012_nombre_Frutales,0.0,0.0,0.0
clc2012_nombre_Cursos de agua,0.0,0.0,0.0
clc2012_nombre_Veg esclerofia,0.0,0.0,0.0
clc2012_nombre_Zonas industriales,0.0,0.0,0.0
clc2018_nombre_Veg esclerofia,0.0,0.0,0.0
sigpac_uso_nombre_Huerta,0.0,0.0,0.0
clc2018_nombre_Zonas industriales,0.0,0.0,0.0
clc2018_nombre_Tejido urbano discontinuo,0.0,0.0,0.0
