variable,importancia,porcentaje,porcentaje_acumulado
zona_vulnerable_nitratos,0.056013003,5.6013002,5.6013002
clc2018_nombre_Bosque frondosas,0.041279994,4.1279993,9.7293
soil_clay_5_15cm,0.040213477,4.0213475,13.750647
soil_clay_15_30cm,0.027383124,2.7383125,16.488958
clc2018_nombre_Terrenos regados,0.022942256,2.2942257,18.783184
altitud_dem_m,0.022038495,2.2038496,20.987034
soil_cec_5_15cm,0.021781223,2.1781223,23.165155
sigpac_uso_nombre_Tierra arable,0.02141525,2.141525,25.30668
sigpac_uso_nombre_Monte bajo / Matorral,0.020441718,2.0441718,27.350853
soil_clay_0_5cm,0.018685456,1.8685457,29.219398
soil_wv1500_5_15cm,0.018507404,1.8507404,31.070139
sigpac_uso_nombre_Olivar,0.018122049,1.812205,32.882343
sigpac_pendiente_pct,0.017251557,1.7251557,34.6075
dist_estacion_m,0.01661744,1.661744,36.26924
soil_silt_0_5cm,0.016305914,1.6305914,37.899834
soil_soc_15_30cm,0.016224379,1.6224378,39.52227
lat,0.016182592,1.6182592,41.14053
clc2012_nombre_Frutales,0.015522671,1.5522671,42.692795
soil_wv1500_15_30cm,0.015364493,1.5364493,44.229244
soil_phh2o_5_15cm,0.015130255,1.5130255,45.74227
y_utm30,0.014410964,1.4410964,47.18337
clc2012_nombre_Bosque frondosas,0.013976616,1.3976616,48.58103
naturaleza_Sondeo,0.013941904,1.3941903,49.975224
clc2018_nombre_Tejido urbano discontinuo,0.013815591,1.3815591,51.35678
soil_phh2o_15_30cm,0.013594271,1.3594271,52.71621
sigpac_uso_nombre_Forestal,0.013425759,1.3425759,54.058784
lon,0.013223841,1.3223841,55.38117
clc2018_nombre_Frutales,0.013211466,1.3211466,56.702316
soil_soc_5_15cm,0.01253825,1.253825,57.956142
clc2012_agricola,0.012502572,1.2502571,59.206398
ndvi_cambio_periodo,0.012150245,1.2150245,60.42142
soil_silt_5_15cm,0.01214733,1.214733,61.636154
x_utm30,0.012089265,1.2089264,62.84508
soil_cec_0_5cm,0.011958328,1.1958328,64.04092
clc2012_nombre_Terrenos regados,0.011808749,1.180875,65.221794
soil_sand_5_15cm,0.011384196,1.1384195,66.360214
clc2018_agricola,0.011035928,1.1035928,67.463806
ndvi_media_periodo,0.010894607,1.0894607,68.55327
soil_wv1500_0_5cm,0.0107204,1.07204,69.625305
sigpac_uso_nombre_Viales,0.010471729,1.0471729,70.67248
soil_wv0033_15_30cm,0.009899426,0.9899426,71.66242
clc2012_nombre_Tierras labor secano,0.009833508,0.9833508,72.645775
sigpac_uso_nombre_Agua,0.009779035,0.9779035,73.62368
ndvi_max_periodo,0.009750748,0.9750748,74.598755
soil_sand_15_30cm,0.00964595,0.964595,75.56335
soil_silt_15_30cm,0.009158762,0.9158762,76.479225
altitud,0.009088796,0.9088796,77.38811
soil_cec_15_30cm,0.0088838115,0.8883811,78.27649
soil_wv0033_0_5cm,0.008480484,0.8480484,79.124535
soil_phh2o_0_5cm,0.008440733,0.8440733,79.968605
clc2012_nombre_Tejido urbano discontinuo,0.008331563,0.83315635,80.80176
anio,0.008051252,0.8051252,81.60688
clc2012_nombre_Vinedos,0.007871082,0.7871082,82.39399
clc2018_nombre_Vinedos,0.007827392,0.78273916,83.17673
naturaleza_Pozo,0.0076181293,0.7618129,83.93854
naturaleza_Manantial,0.007551859,0.7551859,84.693726
soil_wv0033_5_15cm,0.0074476763,0.7447676,85.43849
sigpac_superficie_m2,0.007194488,0.7194488,86.15794
clc2012_nombre_Veg esclerofia,0.0071317144,0.7131714,86.87112
ndvi_anio_observacion,0.007117272,0.7117272,87.58285
ndvi_min_periodo,0.0067477515,0.6747751,88.25762
soil_soc_0_5cm,0.006721103,0.6721103,88.92973
temp_media_30d,0.006664071,0.6664071,89.59614
anomalia_temp,0.0065656085,0.65656084,90.2527
sigpac_uso_nombre_Vinedo,0.0064337337,0.64337337,90.89607
mes,0.0063859234,0.63859236,91.53467
sigpac_uso_nombre_Improductivo,0.0063818884,0.63818884,92.17286
precip_30d,0.0061409133,0.61409134,92.78695
soil_sand_0_5cm,0.006126064,0.6126064,93.39956
clc2018_nombre_Veg esclerofia,0.0060844803,0.608448,94.00801
sigpac_coef_regadio,0.006044423,0.6044423,94.61245
temp_media_7d,0.0056746164,0.56746167,95.17991
clc2012_nombre_Tejido urbano continuo,0.0055208113,0.5520811,95.73199
clc2018_nombre_Tierras labor secano,0.0052051055,0.52051055,96.252495
precip_7d,0.0051952978,0.51952976,96.772026
precip_15d,0.0050951126,0.50951123,97.28154
tmed,0.0047538695,0.47538695,97.75693
prec,0.0046384404,0.46384403,98.22077
sigpac_es_agricola,0.004584314,0.4584314,98.67921
sigpac_uso_nombre_Zona urbana,0.004255683,0.4255683,99.104774
clc2018_nombre_Mosaico cultivos,0.0037218216,0.37218216,99.47696
evento_extremo_lluvia,0.0031629887,0.31629887,99.79326
clc2012_nombre_Mosaico cultivos,0.0020675554,0.20675555,100.000015
sigpac_uso_nombre_Frutos secos,0.0,0.0,100.000015
sigpac_uso_nombre_Huerta,0.0,0.0,100.000015
sigpac_uso_nombre_Pasto arbustivo,0.0,0.0,100.000015
sigpac_uso_nombre_Pasto arbolado,0.0,0.0,100.000015
clc2018_nombre_Zonas industriales,0.0,0.0,100.000015
sigpac_uso_nombre_Frutales,0.0,0.0,100.000015
clc2012_nombre_Bosque coniferas,0.0,0.0,100.000015
clc2018_nombre_Tejido urbano continuo,0.0,0.0,100.000015
clc2012_nombre_Cursos de agua,0.0,0.0,100.000015
clc2018_nombre_Matorrales,0.0,0.0,100.000015
clc2018_nombre_Matorral boscoso,0.0,0.0,100.000015
clc2018_nombre_Cursos de agua,0.0,0.0,100.000015
clc2018_nombre_Bosque coniferas,0.0,0.0,100.000015
clc2012_nombre_Zonas industriales,0.0,0.0,100.000015
cambio_clc_2012_2018,0.0,0.0,100.000015
dist_sigpac_m,0.0,0.0,100.000015
clc2012_nombre_Praderas,0.0,0.0,100.000015
clc2012_nombre_Matorrales,0.0,0.0,100.000015
clc2012_nombre_Matorral boscoso,0.0,0.0,100.000015
sigpac_coef_regadio_nulo,0.0,0.0,100.000015
clc2018_nombre_Praderas,0.0,0.0,100.000015
