ipa,anio,clase,clase_predicha,acierto,no3_mgl,prob_normal,prob_riesgo,prob_afectada
241050045,2020,normal,normal,1,2.7,0.9953034,0.00057559717,0.0041210037
211020172,2024,afectada,afectada,1,88.0,0.03162006,0.0005435828,0.9678363
231070139,2016,afectada,afectada,1,198.0,5.6713176e-05,4.6272013e-05,0.999897
241060011,2025,normal,normal,1,4.1,0.9997881,3.1513355e-05,0.0001804501
231080029,2025,afectada,afectada,1,55.4,0.00032217373,0.0004586376,0.9992192
211030763,2021,normal,normal,1,6.0,0.9990754,0.00023369025,0.0006909251
221120045,2019,riesgo,riesgo,1,35.0,0.008117267,0.9693132,0.022569587
220950053,2020,afectada,afectada,1,92.1,0.00011353414,0.00023793567,0.9996486
231030090,2017,afectada,normal,0,61.0,0.8662066,0.06284989,0.07094351
241160189,2019,normal,normal,1,6.02,0.99851555,0.00025788363,0.0012265814
221040043,2015,afectada,afectada,1,78.8,0.0038049538,0.0032513323,0.9929437
210980214,2022,riesgo,riesgo,1,33.0,0.16311428,0.7488166,0.0880691
221060002,2016,afectada,afectada,1,52.7,0.08277526,0.055762243,0.8614625
210980114,2023,riesgo,riesgo,1,37.1,0.0009122392,0.88573945,0.11334831
220950053,2017,afectada,afectada,1,97.1,0.00011164552,0.00025652657,0.99963176
221020024,2025,afectada,afectada,1,53.3,0.0009419428,0.018702265,0.98035574
231050145,2025,normal,riesgo,0,15.0,0.10576021,0.89341116,0.0008286767
241120074,2023,riesgo,riesgo,1,25.2,0.0037245865,0.9651399,0.031135507
231030091,2018,afectada,afectada,1,57.3,0.0010495925,0.00013142254,0.99881893
221230018,2023,normal,normal,1,2.5,0.9997925,5.888102e-05,0.00014863939
221030030,2019,riesgo,afectada,0,33.0,1.1539941e-05,2.3548753e-05,0.99996495
251150038,2025,normal,riesgo,0,21.4,0.09631445,0.68509716,0.2185884
210980020,2021,afectada,riesgo,0,43.0,0.051303525,0.7861808,0.16251573
241120074,2017,riesgo,afectada,0,27.8,0.00826382,0.3884177,0.6033185
211020002,2020,afectada,afectada,1,120.0,0.00080525136,9.968678e-05,0.9990951
211020002,2017,afectada,afectada,1,108.0,0.0005887635,7.790768e-05,0.9993333
241270004,2025,normal,normal,1,1.0,0.9896399,0.008758822,0.0016013018
220950053,2017,afectada,afectada,1,114.0,0.00022367778,0.0001359004,0.99964046
221020024,2019,afectada,riesgo,0,53.6,0.0013579548,0.91674197,0.08190004
241120074,2016,normal,afectada,0,15.2,0.004461659,0.18653636,0.809002
241160181,2019,afectada,afectada,1,86.0,0.0054725744,0.0008955941,0.9936319
210940011,2015,normal,normal,1,2.9,0.81905216,0.00014974049,0.18079807
221130009,2025,normal,normal,1,2.4,0.9980057,0.0005713838,0.0014229148
210980017,2016,afectada,afectada,1,123.0,5.6942736e-05,7.773439e-05,0.9998653
241150028,2016,normal,normal,1,3.66,0.99814093,0.0003575354,0.001501516
210980206,2024,riesgo,riesgo,1,28.1,0.021459494,0.9733141,0.005226376
221020012,2025,riesgo,normal,0,28.3,0.6918524,0.07296469,0.23518291
231080029,2023,afectada,afectada,1,45.4,0.0016723493,0.046113458,0.9522142
231020159,2019,afectada,riesgo,0,39.0,0.24034888,0.39928937,0.36036178
210940011,2025,normal,normal,1,3.0,0.8911881,0.0008100403,0.1080019
221030027,2015,afectada,afectada,1,184.0,9.125332e-05,0.002926242,0.9969825
241160207,2016,normal,normal,1,7.44,0.9988048,0.00028475068,0.0009104621
211040588,2018,afectada,afectada,1,53.7,0.00066328,0.0014941233,0.99784255
211040003,2021,afectada,afectada,1,107.0,0.00010827427,6.5170105e-05,0.9998266
241070099,2022,normal,normal,1,4.0,0.993804,0.0059238193,0.0002721412
221210014,2021,normal,normal,1,2.5,0.99970704,0.00010222399,0.00019076458
231030090,2025,normal,normal,1,11.7,0.87748873,0.094433166,0.028078137
211040587,2023,afectada,afectada,1,95.0,0.001214063,0.0002168366,0.99856913
241160181,2018,afectada,afectada,1,76.7,0.00095009734,0.00060922286,0.9984407
241050045,2017,normal,normal,1,2.81,0.99900335,0.00011949344,0.000877233
231050020,2015,afectada,afectada,1,80.5,7.141852e-05,5.2637817e-05,0.9998759
210960027,2018,afectada,afectada,1,40.9,0.015736334,0.024803616,0.95946
211030763,2025,normal,normal,1,10.0,0.9987073,0.0004897275,0.00080293353
220950053,2016,afectada,afectada,1,121.0,7.458098e-05,4.475975e-05,0.9998807
210970015,2023,normal,normal,1,2.5,0.9939547,0.0042181355,0.0018271871
231010130,2024,afectada,afectada,1,63.0,0.008054208,0.33317912,0.6587667
211040588,2019,afectada,afectada,1,51.0,0.00013413728,0.00027383634,0.999592
210980012,2025,normal,normal,1,9.9,0.9986094,0.0012813358,0.000109246736
221080061,2022,afectada,afectada,1,56.0,0.0024323973,0.0003621028,0.99720544
211020002,2019,afectada,afectada,1,105.0,0.0031450677,7.828834e-05,0.99677664
220950053,2015,afectada,afectada,1,154.0,5.3576154e-05,8.239659e-05,0.999864
231030063,2017,afectada,afectada,1,146.0,9.920405e-05,0.00041694634,0.9994838
221040043,2024,riesgo,afectada,0,33.1,0.0059955786,0.0006653877,0.993339
241130002,2023,normal,normal,1,19.0,0.99734664,0.0024924204,0.00016088829
221020012,2023,normal,riesgo,0,20.7,0.037809625,0.9102702,0.051920194
211040003,2016,afectada,afectada,1,77.5,0.0011366046,0.0004967009,0.99836665
211040524,2022,afectada,afectada,1,128.0,0.0023348732,0.002158537,0.9955065
231030088,2019,normal,normal,1,6.0,0.9986344,0.0006206285,0.0007449268
241160146,2025,normal,normal,1,2.4,0.9955727,0.004041141,0.00038610015
241160255,2016,afectada,afectada,1,48.3,0.001213628,0.0006958905,0.99809045
211020172,2019,afectada,afectada,1,103.4,0.0010157541,0.008955185,0.99002904
221080061,2025,afectada,afectada,1,57.2,0.1044095,0.012285412,0.8833051
241050067,2021,normal,normal,1,20.0,0.9815623,0.01797957,0.00045812278
231050145,2018,normal,riesgo,0,22.0,0.2166842,0.55894536,0.22437046
231050145,2025,riesgo,riesgo,1,26.2,0.17867327,0.8148742,0.0064525353
231030090,2024,normal,riesgo,0,8.3,0.06477038,0.90962225,0.025607377
